cluster,rank,gene,score,pval,pval_adj
cluster_0,0,Hbb-bt,0.47023088,0.6381900771740815,1.0
cluster_0,1,Calca,0.21938847,0.8263474553798873,1.0
cluster_0,2,Cks1b,0.17759079,0.8590443577129576,1.0
cluster_0,3,Gm29564,0.11335822,0.9097465598608344,1.0
cluster_0,4,1600014C23Rik,0.09379815,0.9252695003434429,1.0
cluster_0,5,Gm28592,0.07423808,0.9408209459742385,1.0
cluster_0,6,C3,0.07223698,0.9424133181429843,1.0
cluster_0,7,Fam220a,0.07223698,0.9424133181429843,1.0
cluster_0,8,S100a8,0.065867275,0.9474834975856198,1.0
cluster_0,9,Gm45017,0.05667911,0.9548008141131558,1.0
cluster_0,10,Trim42,0.05667911,0.9548008141131558,1.0
cluster_0,11,Cox8b,0.05667911,0.9548008141131558,1.0
cluster_0,12,Gm57033,0.05667911,0.9548008141131558,1.0
cluster_0,13,Gm15295,0.05667911,0.9548008141131558,1.0
cluster_0,14,Erich2os,0.05667911,0.9548008141131558,1.0
cluster_0,15,Fam110c,0.05667911,0.9548008141131558,1.0
cluster_0,16,Cd3e,0.05667911,0.9548008141131558,1.0
cluster_0,17,Cytl1,0.05667911,0.9548008141131558,1.0
cluster_0,18,Gm16551,0.05667911,0.9548008141131558,1.0
cluster_0,19,Gm38411,0.05667911,0.9548008141131558,1.0
cluster_1,0,Qki,31.235088,3.558937627969136e-214,1.1992196231204801e-209
cluster_1,1,Dock10,29.544374,7.75600898531743e-192,1.3067323938462806e-187
cluster_1,2,Fchsd2,29.442635,1.5642408791491694e-190,1.7569553554603469e-186
cluster_1,3,Foxn3,29.2778,1.9885905129901748e-188,1.6751886481429233e-184
cluster_1,4,Dscam,29.00484,5.7167124372712904e-185,3.8526068457258684e-181
cluster_1,5,Dleu2,28.914165,7.923828739554565e-184,4.406944303152873e-180
cluster_1,6,Zeb1,28.909176,9.154976888078738e-184,4.406944303152873e-180
cluster_1,7,Chd9,28.824047,1.0719290769586072e-182,4.5149652721496536e-179
cluster_1,8,Rbm39,28.721315,2.0674059168130786e-181,7.740367752548165e-178
cluster_1,9,Mef2a,28.702751,3.5251361761062993e-181,1.1878298859007786e-177
cluster_1,10,Nav2,28.654625,1.4038729776463507e-180,4.300445804979221e-177
cluster_1,11,Srgap2,28.620008,3.787631449052936e-180,1.0635669108940644e-176
cluster_1,12,Gnaq,28.606033,5.652715379967043e-180,1.4374931420557332e-176
cluster_1,13,Tanc2,28.60411,5.972490499994143e-180,1.4374931420557332e-176
cluster_1,14,Epn2,28.595125,7.725325811740268e-180,1.714385693722867e-176
cluster_1,15,Picalm,28.593296,8.140482876176956e-180,1.714385693722867e-176
cluster_1,16,Pnisr,28.573431,1.437279413089751e-179,2.8488568884395436e-176
cluster_1,17,Plcl1,28.569992,1.5859050461560653e-179,2.9688142464041537e-176
cluster_1,18,Mbnl1,28.562586,1.9600938188076616e-179,3.476174806239104e-176
cluster_1,19,Clasp2,28.544983,3.242089288302158e-179,5.462272032931476e-176
cluster_2,0,Nrg1,11.002776,3.705461641347987e-28,1.560740443335772e-24
cluster_2,1,Ncam2,10.280701,8.609901072584238e-25,1.7065836855399907e-21
cluster_2,2,Dpp10,10.094605,5.836512141021549e-24,8.550744047994004e-21
cluster_2,3,Rgs6,9.968694,2.0895876875801802e-23,2.7081056431039138e-20
cluster_2,4,Sorbs2,9.401793,5.364141032982899e-21,3.765627005153995e-18
cluster_2,5,Lrrtm4,9.271682,1.8323283222791482e-20,1.1433728731021885e-17
cluster_2,6,Magi3,9.268549,1.8869475897633562e-20,1.1560470179030191e-17
cluster_2,7,Atp2b4,9.123934,7.244579832507287e-20,4.2826905620379925e-17
cluster_2,8,Gm26871,9.058832,1.3185507567646049e-19,6.984162111486105e-17
cluster_2,9,Cntnap5a,9.010867,2.0443413350144732e-19,1.0587445155977367e-16
cluster_2,10,Cdh13,8.824302,1.101450349248703e-18,5.084174105244424e-16
cluster_2,11,Lrrc4c,8.7084465,3.0806827602038203e-18,1.265935198632048e-15
cluster_2,12,Fras1,8.383186,5.151364522200961e-17,1.7533371610109452e-14
cluster_2,13,Pcdh7,8.027788,9.924533290922804e-16,2.8340429980587695e-13
cluster_2,14,Mef2c,7.994517,1.3008283853823754e-15,3.5928453503151246e-13
cluster_2,15,Tmem132d,7.9662895,1.6350979307888012e-15,4.443246764182213e-13
cluster_2,16,Pdzrn4,7.905511,2.668371805438408e-15,6.796210988573666e-13
cluster_2,17,Cobl,7.8989315,2.813040738871516e-15,7.021349684223305e-13
cluster_2,18,Lrrtm3,7.663023,1.816068904039786e-14,4.0259380125345156e-12
cluster_2,19,Fnbp1l,7.610296,2.7346902910596438e-14,5.832159749844668e-12
cluster_3,0,Rbms3,18.49152,2.416425263644565e-76,8.142386568376726e-72
cluster_3,1,Grik1,17.402958,7.8351021749542e-68,1.3200580144362837e-63
cluster_3,2,Nxph1,17.241373,1.2991292108503753e-66,1.4591819296271414e-62
cluster_3,3,Kcnmb2,17.003294,7.763193280432393e-65,6.539714019436248e-61
cluster_3,4,Dlx6os1,16.71731,9.804581366435096e-63,6.60750347446794e-59
cluster_3,5,Gad2,16.644028,3.3435589697847847e-62,1.877742717431135e-58
cluster_3,6,Erbb4,16.490355,4.304221171982064e-61,2.071929094444395e-57
cluster_3,7,Ptprm,15.928544,4.0159696123948814e-57,1.691526400740724e-53
cluster_3,8,Kcnc2,15.633204,4.324975247598147e-55,1.6192707327007462e-51
cluster_3,9,Grip1,15.5966625,7.66998388005251e-55,2.5082964448209164e-51
cluster_3,10,Alk,15.592486,8.188289676231624e-55,2.5082964448209164e-51
cluster_3,11,Gad1,15.332523,4.636229287837346e-53,1.3018531840247268e-49
cluster_3,12,Kcnip1,15.273495,1.148487832830722e-52,2.9768804626972315e-49
cluster_3,13,Spock3,14.810427,1.254407427175382e-49,3.0191794761501194e-46
cluster_3,14,Frmd5,14.673418,9.541493900127266e-49,2.0381878219883645e-45
cluster_3,15,Slc6a1,14.672454,9.67800485274627e-49,2.0381878219883645e-45
cluster_3,16,Galntl6,14.546929,6.108375769311298e-48,1.210751940721844e-44
cluster_3,17,Zfp536,14.530586,7.755351121155743e-48,1.451801729880355e-44
cluster_3,18,Sox2ot,14.226613,6.264326705424152e-46,1.1109618561366961e-42
cluster_3,19,Nhs,13.951712,3.071458771890812e-44,5.17479373888164e-41
cluster_4,0,Cux2,12.428991,1.81914619266808e-35,3.4923107963337365e-31
cluster_4,1,Trps1,12.4185505,2.0728340434079633e-35,3.4923107963337365e-31
cluster_4,2,Camk2d,12.343099,5.30734372705923e-35,5.961208474232927e-31
cluster_4,3,Necab1,12.226698,2.2385510031685805e-34,1.885755365069212e-30
cluster_4,4,Hs6st3,12.1805935,3.944032704641756e-34,2.6579625203121723e-30
cluster_4,5,Asap1,12.082239,1.3110025246369624e-33,7.36259017836118e-30
cluster_4,6,Cdh20,12.033084,2.380986400673813e-33,1.1461388251014972e-29
cluster_4,7,Ptprk,12.01826,2.849089581720609e-33,1.2000365318207205e-29
cluster_4,8,Adcy8,11.879903,1.5054298701081225e-32,5.63632943368481e-29
cluster_4,9,Hdac9,11.818802,3.121041404346362e-32,1.0516661116085501e-28
cluster_4,10,Epha3,11.466034,1.9541196458929905e-30,5.986001417091837e-27
