gene,score,pval,pval_adj
Nrg1,11.002776,3.705461641347987e-28,1.560740443335772e-24
Ncam2,10.280701,8.609901072584238e-25,1.7065836855399907e-21
Dpp10,10.094605,5.836512141021549e-24,8.550744047994004e-21
Rgs6,9.968694,2.0895876875801802e-23,2.7081056431039138e-20
Sorbs2,9.401793,5.364141032982899e-21,3.765627005153995e-18
Lrrtm4,9.271682,1.8323283222791482e-20,1.1433728731021885e-17
Magi3,9.268549,1.8869475897633562e-20,1.1560470179030191e-17
Atp2b4,9.123934,7.244579832507287e-20,4.2826905620379925e-17
Gm26871,9.058832,1.3185507567646049e-19,6.984162111486105e-17
Cntnap5a,9.010867,2.0443413350144732e-19,1.0587445155977367e-16
Cdh13,8.824302,1.101450349248703e-18,5.084174105244424e-16
Lrrc4c,8.7084465,3.0806827602038203e-18,1.265935198632048e-15
Fras1,8.383186,5.151364522200961e-17,1.7533371610109452e-14
Pcdh7,8.027788,9.924533290922804e-16,2.8340429980587695e-13
Mef2c,7.994517,1.3008283853823754e-15,3.5928453503151246e-13
Tmem132d,7.9662895,1.6350979307888012e-15,4.443246764182213e-13
Pdzrn4,7.905511,2.668371805438408e-15,6.796210988573666e-13
Cobl,7.8989315,2.813040738871516e-15,7.021349684223305e-13
Lrrtm3,7.663023,1.816068904039786e-14,4.0259380125345156e-12
Fnbp1l,7.610296,2.7346902910596438e-14,5.832159749844668e-12
