gene,score,pval,pval_adj
Atp1a2,20.925861,3.1139343286327594e-97,1.0492713113760945e-92
Gli3,19.764687,5.996891058969612e-87,1.0103562056152e-82
Lama2,19.701347,2.099602506902275e-86,2.3582735357526352e-82
Plpp3,19.485199,1.466092025473027e-84,1.235035922258478e-80
Gpc5,18.879383,1.6854132746581426e-79,1.1358337140576154e-75
Prex2,18.626509,1.9589061377240476e-77,1.1001216869458251e-73
Slc1a2,18.309422,6.960446461334816e-75,3.3505600565876854e-71
Slc1a3,18.280653,1.1800682043426489e-74,4.9704472766912365e-71
Rorb,18.188002,6.423898506625902e-74,2.4051076008807374e-70
Gm6145,17.171938,4.307979040861277e-66,1.4516166176086159e-62
Rgs20,16.998829,8.377671563506348e-65,2.5663092818537263e-61
Mertk,16.904459,4.171287612800651e-64,1.1712975616744226e-60
Nhsl1,16.784786,3.153667915390964e-63,8.174307236693379e-60
Slco1c1,16.533579,2.1027695664072112e-61,5.0610659506898134e-58
Grm3,16.027702,8.185319487153089e-58,1.8387501695940697e-54
Bmpr1b,15.860009,1.1987547706124867e-56,2.524577546909897e-53
Nwd1,15.346459,3.74053092866912e-53,7.414172363084391e-50
Slc4a4,15.286455,9.41366098117317e-53,1.7622373356756172e-49
Pla2g7,15.277729,1.0762626243537935e-52,1.908723441590812e-49
Pitpnc1,15.005965,6.710709799307517e-51,1.1306203869873305e-47
