gene,score,pval,pval_adj
Zfhx3,15.2410555,1.8879523445052214e-52,6.361644220044794e-48
Mertk,13.821281,1.8966203814324643e-43,3.1954260186374156e-39
Inpp5d,13.700546,1.007638521009904e-42,1.1317795867983242e-38
Siglech,12.361407,4.2269192065145006e-35,3.560756739567815e-31
Tgfbr1,12.208408,2.803187322632926e-34,1.8891240004687815e-30
Cx3cr1,12.089622,1.1983782980535752e-33,6.730092521868879e-30
Dock8,11.976637,4.7104702828928474e-33,2.1434330403203067e-29
Epb41l2,11.970228,5.088872365432827e-33,2.1434330403203067e-29
Apbb1ip,11.893967,1.2721788203122958e-32,4.763037503249235e-29
Csf1r,11.688871,1.453046756444401e-31,4.896186350515054e-28
Gm2629,11.5709505,5.7838499190811515e-31,1.7717509715759863e-27
Lyn,11.394653,4.445967270289341e-30,1.248427609497247e-26
Fli1,10.84792,2.0401486484497476e-27,5.288065296781746e-24
Dock2,10.755853,5.56173688624974e-27,1.338630615136223e-23
Gm10790,10.160833,2.965299734579148e-24,6.6612493237585984e-21
P2ry12,10.120863,4.464632804876567e-24,9.40251668707005e-21
Elmo1,9.692181,3.255035677141655e-22,6.451863657468541e-19
Fyb,9.601715,7.862496613954695e-22,1.4718593661323187e-18
Ly86,9.564862,1.1235110125030045e-21,1.992517214594802e-18
Runx1,9.358771,8.066965079687643e-21,1.3591222766257742e-17
