resolution,n_clusters,silhouette_score,davies_bouldin_score,calinski_harabasz_score,avg_marker_genes,marker_gene_score,marker_gene_significance,cluster_separation_score,overall_score,silhouette_score_filled,silhouette_score_normalized,davies_bouldin_score_filled,davies_bouldin_score_normalized,calinski_harabasz_score_filled,calinski_harabasz_score_normalized,avg_marker_genes_filled,avg_marker_genes_normalized,marker_gene_score_filled,marker_gene_score_normalized,marker_gene_significance_filled,marker_gene_significance_normalized,cluster_separation_score_filled,cluster_separation_score_normalized
0.05,6,0.10830898,-1.556615254108877,341.7584631705264,10.0,1.0,17.359950442514453,-1.8786962,0.7092209364573908,0.10830898,1.0,-1.556615254108877,1.0,341.7584631705264,1.0,10.0,1.0,1.0,1.0,17.359950442514453,0.5461046524846318,-1.8786962,0.0
0.13,10,0.047488943,-1.7373023646946808,283.3243910480075,10.0,1.0,15.913844194115663,-0.4931905,0.5840366809677041,0.047488943,0.0,-1.7373023646946808,0.4826753848241024,283.3243910480075,0.5590769016651589,10.0,1.0,1.0,1.0,15.913844194115663,0.4504771487789864,-0.4931905,0.69883007
0.22,13,0.048729356,-1.676532938964486,261.20486708861205,5.5,0.5,21.73865111509108,-0.69430697,0.3945521510211164,0.048729356,0.020394819,-1.676532938964486,0.6566641086373839,261.20486708861205,0.3921706997934285,5.5,0.0,0.5,0.0,21.73865111509108,0.8356575226533128,-0.69430697,0.5973897
0.3,15,0.07799731,-1.8341840277735797,269.71032571098885,10.0,1.0,24.22388469496075,-0.34869257,0.745749517359489,0.07799731,0.5016171,-1.8341840277735797,0.20529384439545115,269.71032571098885,0.45634991976416756,10.0,1.0,1.0,1.0,24.22388469496075,1.0,-0.34869257,0.77171284
0.38,15,0.08354403,-1.825443040258181,274.2445232344712,10.0,1.0,22.338345464016648,-0.054317933,0.7701117868186766,0.08354403,0.59281594,-1.825443040258181,0.23032013425088405,274.2445232344712,0.4905633905680542,10.0,1.0,1.0,1.0,22.338345464016648,0.8753138574749294,-0.054317933,0.92019135
0.47,16,0.081970796,-1.9058874620906443,258.5047280415792,10.0,1.0,12.974439534035819,-0.037312113,0.6091960247622299,0.081970796,0.5669489,-1.9058874620906443,0.0,258.5047280415792,0.3717963936513481,10.0,1.0,1.0,1.0,12.974439534035819,0.25610143791029133,-0.037312113,0.9287688
0.55,17,0.08056124,-1.86121158838496,246.94925499900808,10.0,1.0,13.703809833458157,-0.11197952,0.6119055095258343,0.08056124,0.5437731,-1.86121158838496,0.12791133300825477,246.94925499900808,0.2846028301774157,10.0,1.0,1.0,1.0,13.703809833458157,0.3043329292602707,-0.11197952,0.8911077
0.63,18,0.075558394,-1.856771416055658,238.604410388391,10.0,1.0,11.378531231834028,-0.045137204,0.5705314125347697,0.075558394,0.46151653,-1.856771416055658,0.14062397440322577,238.604410388391,0.22163554744001887,10.0,1.0,1.0,1.0,11.378531231834028,0.15056788721050476,-0.045137204,0.92482203
0.72,19,0.06716377,-1.8845917975749005,217.38861277536185,10.0,1.0,9.242651876820977,0.02660129,0.5048425546109552,0.06716377,0.3234926,-1.8845917975749005,0.06097154033181907,217.38861277536185,0.06154854892367295,10.0,1.0,1.0,1.0,9.242651876820977,0.009327358610011058,0.02660129,0.9610059
0.8,20,0.06393942,-1.8545991594316817,209.23178823968954,10.0,1.0,9.101600912984127,0.10391123,0.5052560354880427,0.06393942,0.27047798,-1.8545991594316817,0.14684335451516914,209.23178823968954,0.0,10.0,1.0,1.0,1.0,9.101600912984127,0.0,0.10391123,1.0
