,Marker 1,Marker 2,Marker 3,Marker 4,Marker 5
0,A930018P22Rik,Npw,Gm57164,Anxa8,Hp
1,Hpgds,Gmppa,Fam234a,Mfsd1,Anxa5
2,Clec2l,Mettl26,Scamp3,Fam131b,Mphosph6
3,Hbb-bt,Cd8b1,Gm31143,Gm47675,Cldn34a
4,Smim20,Tsfm,Trim27,Cpsf1,Bet1
5,Mc1r,Gm6360,Gm8797,Aif1,Or8c10
6,Trappc5,Gemin7,Cfap298,Gatd3a,Ruvbl1
7,Il7r,Fam178b,Gm57370,Tnfsf10,Ap5b1
8,Ttr,8430422H06Rik,Mc1r,2810030D12Rik,Pdlim2
9,Ndp,Scrg1,Cd37,Ccdc80,Fibp
10,Gm16010,Gm48313,Gm11551,Or52e4,Gm13346
11,Vim,Ppic,Lrrc18,Gm38804,Gm30667
12,4921531P14Rik,Gm17094,Gm50348,Or52e4,Msx2
13,Or2d3c,2210418O10Rik,Gm16578,Sdr9c7,Gm47389
14,Vsir,Col11a2,Olig2,Lzts2,Ccdc106
