,Marker 1,Marker 2,Marker 3,Marker 4,Marker 5
0,Dpy30,Slc16a1,Scamp3,Ubald1,Cby1
1,Ifi47,Gm57230,H2-Q6,Gm40761,Cox8b
2,Pin4,Hba-a2,Impdh2,Gkn3,Rflnb
3,Rab43,Rcc2,Zbtb43,Slc25a11,Spryd7
4,Hba-a1,Gm16095,Hsd3b5,Aadacl4fm4,Gm15384
5,Aprt,H4c4,Zfas1,Fam177a,Gcsh
6,Gm11532,Asmt,Gm4791,Fgfbp1,Or2t6
7,Tmem176b,Oasl2,Slc22a18,Tmem37,Mia
8,Myl9,Dthd1,Gm41654,Gm15339,Ahnak
9,Cfap68,Mrpl36,Psmb10,Xlr5a,Mea1
10,Kcne1l,Gm56859,Gm56806,Gm2366,Crocc2
11,Rsad2,5730414N17Rik,S100a8,Igkc,Fgfbp1
12,Ly6c1,Hjv,Alox15,Nodal,Cd19
13,Mrps17,A2ml1,Siva1,Gkn3,AW112010
14,Tpsg1,Gm13773,8430437L04Rik,Gm29084,Afp
15,Alox15,Hjv,Gm36462,Afp,Gm29084
16,Prg4,Gng11,Bcam,Gm36462,Gm29084
17,Plscr2,Gm56961,Gm56768,C1qtnf2,Fmod
18,Gm29084,Gm10113,Hjv,Gm40915,Ccdc185
19,Gm10113,Gm49466,Gm29084,Hjv,Ccdc185
20,Slco1a4,Gm49466,Gm29084,Cd19,Afp
21,Gm40915,Alox15,Cd19,Gm49466,Nodal
