,Marker 1,Marker 2,Marker 3,Marker 4,Marker 5
0,Pfdn5,Bex2,Ndufa6,Plscr4,Arl10
1,Rpl10,Srp19,Thap12,Ino80b,Kcnj2
2,Ttc23l,Rhox4b,Soat2,Gm41002,Frmpd1os
3,Gm10101,1700003C15Rik,Gm11770,Gm26576,Gm57030
4,Gm10101,Gm42205,Vmn2r98,Ccdc27,S100a9
5,Col4a6,Abcb1a,Gm26747,Or13a24,Gm45615
6,Gm13595,3300002P09Rik,Gm28586,Gm57239,Lnp1
7,Hspb11,Tnfaip1,H2az1,B230354K17Rik,Acox3
8,Gm57275,Fndc3c1,Art2a,Or14j7,Gm56856
9,Stbd1,Or14j10,Gm11131,Pilra,9130409I23Rik
10,Gm14209,1700003D09Rik,Msx1,Ankrd53,Gm35909
11,Evi2a,mt-Nd5,Bc1,Gm48742,Gm38973
12,Gm40117,Slc6a13,Acox2,Rs1,Gm31223
13,Pfdn5,Acot13,Arhgap29,Xpc,Osgin2
14,Vsig2,Ccdc105,Gm49944,Gm34418,Gm12446
15,Txnip,Gm56895,Gm40292,Or10g1b,Gm57218
16,Btbd17,Ddx60,Plxnb1,Rex1bd,Slc35d2
17,P2ry6,Ddx60,Mpeg1,Alox5,Ppp1r3b
18,Naip2,Vps9d1,Rin3,Gm39816,Slc39a3
19,Crybb1,Il4ra,Mmp14,Susd3,1700006A11Rik
20,Gm39154,4930526F13Rik,4930550C17Rik,Gm34597,Ces1b
21,Stab1,Tec,Oplah,Sirpb1a,Gm57218
22,Trim56,Tirap,Rexo5,Mrpl36,Rnase4
